DOY,NIRv
1,0.0589248837387472
9,0.0603922897411569
17,0.0618736921961129
25,0.061644927177094
33,0.059893565473584
41,0.0596004584400232
49,0.0577568786226365
57,0.0502919041894158
65,0.0578555452326598
73,0.0586662291011424
81,0.0595223729432827
89,0.0627951107598807
97,0.0670399131585231
105,0.0721766959479905
113,0.0779999487891744
121,0.1051070907359741
129,0.1208414823374636
137,0.1482113332439636
145,0.1533996602380719
153,0.1649910370657491
161,0.1881841290312855
169,0.1958014157455741
177,0.2456882019585592
185,0.2751975315843258
193,0.2997922497139237
201,0.2977685286187805
209,0.3045287174810948
217,0.3424240834216739
225,0.3513573953614207
233,0.3374703888044265
241,0.3044079329708479
249,0.2500902737488752
257,0.1715093124238914
265,0.1318394373565976
273,0.1007165350989613
281,0.0978706326798819
289,0.0852778317132664
297,0.0832394284482976
305,0.0779907689084375
313,0.0711521243947527
321,0.0715209027454605
329,0.0713263965993411
337,0.0695890698153308
345,0.0675852592454805
353,0.0239486820826248
361,0.024501013390367
