DOY,NIRv
1,0.0316037208520662
9,0.0185337409236342
17,0.0397093005220341
25,0.0414889046422118
33,0.0458845240192111
41,0.0473049217915653
49,0.0490284348512229
57,0.0531547020237191
65,0.0580798125106517
73,0.0583638193146347
81,0.0635553081306914
89,0.0641057859375266
97,0.0840035636739819
105,0.0854476847499135
113,0.1173158090693965
121,0.1321376299744732
129,0.1588197540654367
137,0.1790433873122223
145,0.1691591253547679
153,0.1745366106187086
161,0.190542724350407
169,0.2112938120760065
177,0.2451092528306269
185,0.2904781725258781
193,0.3216801025526297
201,0.3402200067259645
209,0.3476583063050551
217,0.3640131039264466
225,0.3706194183875973
233,0.3415792384205436
241,0.3369558100085247
249,0.2945158023007429
257,0.2441545087244704
265,0.1955728584132635
273,0.1441312500766515
281,0.1264318380379417
289,0.1204321221072614
297,0.112668184249898
305,0.0877760333629697
313,0.078124558082108
321,0.0720616368923863
329,0.068788004393065
337,0.0682558012353903
345,0.0691557532096442
353,0.0641769811861755
361,0.0639627170537769
