DOY,NIRv
1,0.0574422596472079
9,0.0560887751897367
17,0.0568926145111968
25,0.056910059653692
33,0.0580982237245806
41,0.0532851708527614
49,0.0566006909063193
57,0.0584377943934234
65,0.0620553979854703
73,0.0714077080663624
81,0.0722010535548942
89,0.0833032116924586
97,0.0902346378199011
105,0.1078500262299938
113,0.1196374149720982
121,0.1253343600134771
129,0.120929394880278
137,0.1224680910465939
145,0.1275023333192389
153,0.1681054479825775
161,0.2224273970065551
169,0.3126189241589003
177,
185,0.3676534300386768
193,0.4043735945467483
201,0.4686458590194362
209,0.4672370440174221
217,0.4543948747314123
225,0.4488798275104858
233,0.4335587335212886
241,0.3547688857698143
249,0.2884378826095221
257,0.2578159040052085
265,0.1572117485113617
273,0.1240473895956423
281,0.1145764750879108
289,0.1092315876499857
297,0.0936328323550818
305,0.0948804393382218
313,0.089009774695528
321,0.084755384085066
